system:index,PfafIDDomWN_monthY2014M02,countDomWN_monthY2014M02,meanDomWN_monthY2014M02,.geo
197,114936,1413,3.156093985600021E-6,
198,114937,2005,3.667688884132063E-6,
199,114938,7122,8.07033807502423E-6,
200,114939,3723,7.586521088255398E-6,
201,114940,17917,1.7465801211635597E-5,
202,114950,8839,1.3319214812041355E-5,
203,114960,17499,5.150002690769535E-5,
204,114970,3830,2.2398661552326078E-5,
205,114980,12419,5.554141659539608E-5,
206,114990,32085,4.699056478262513E-5,
207,115101,71040,3.507598932263573E-5,
208,115102,2813,7.38122051894399E-5,
209,115103,1057,9.638116106629168E-5,
210,115201,4944,1.9918454507278298E-5,
211,115202,7332,4.713907864549054E-5,
212,115203,9279,5.027146358441147E-5,
213,115204,4711,1.9781734447849508E-5,
214,115205,18925,4.599219596797871E-5,
215,115206,1020,9.869148251288085E-6,
216,115207,6669,1.536576766993608E-5,
217,115208,4606,3.234718041117433E-5,
218,115209,6567,1.1055129598906632E-4,
219,115300,31550,1.479624342970489E-4,
220,115410,59,2.0943068176446105E-7,
221,115421,2746,6.607024107455524E-6,
222,115422,5910,3.877568734428235E-6,
223,115423,190,1.994894162459194E-5,
224,115424,27002,5.331503719665298E-5,
225,115425,317,3.5221297331071155E-5,
226,115426,4129,2.296056708024031E-5,
227,115427,2339,3.485140883326638E-5,
228,115428,1980,1.6963332433756934E-5,
229,115429,11579,1.0028960873246273E-4,
230,115430,18309,1.1957235363673037E-5,
231,115440,14238,3.916669393099373E-5,
232,115451,34,0.0,
233,115452,3041,1.320089417741094E-5,
234,115453,6141,1.9849028053566434E-5,
235,115454,5229,2.125252599281244E-5,
236,115455,8528,1.7052068730099823E-5,
237,115456,4944,4.2525406573637025E-5,
238,115457,740,3.518026543774256E-5,
239,115458,4129,4.835436932014849E-5,
240,115459,17083,9.713643110832077E-5,
241,115460,8270,7.356069571200486E-5,
242,115470,9268,1.5609329028023252E-4,
243,115480,12405,1.0771703777138014E-4,
244,115490,6089,1.3717578083938733E-4,
245,115501,6,2.6530633193709215E-5,
246,115502,8893,4.0585048449247556E-5,
247,115503,750,4.489917791463281E-5,
248,115504,2436,4.2449380869260284E-5,
249,115505,2096,3.9010439086101924E-5,
250,115506,7486,1.536511402428501E-5,
251,115507,574,2.991915254744579E-5,
252,115508,7481,2.581913614161229E-5,
253,115509,7552,1.2027639922553337E-5,
254,115601,269,1.0261055309143138E-6,
255,115602,21806,3.379656941782956E-5,
256,115603,1991,2.396388743176259E-5,
257,115604,2276,1.0551670239317463E-4,
258,115605,19149,1.7679782966560433E-4,
259,115606,1710,2.646722562664859E-4,
