system:index,count,hybas6ID,max,mean,min,sum,.geo
36,5675,1060005860,3.2054923338984544E-5,1.0043257498760489E-5,0.0,47979.399577791606,
37,567,1060005870,1.1449964773820846E-5,3.487865069517569E-6,0.0,1662.0848684625958,
38,4941,1060005880,3.005349957340299E-5,9.160389520991422E-6,8.734903425347958E-7,38082.50022768249,
39,17030,1060005890,5.166700996397054E-4,6.996237216753635E-6,0.0,100032.43297400784,
40,5677,1060006520,2.126253402662556E-5,7.852538601204837E-6,0.0,37384.92958537833,
41,13172,1060006530,2.137620664394093E-5,8.333071020647726E-6,0.0,92168.5086479104,
42,33905,1060006850,4.261262965235586E-5,1.063470758721634E-5,0.0,303232.67843810096,
43,8315,1060006860,2.1894034481469255E-5,1.46355113178451E-5,0.0,102549.85300981769,
44,30830,1060007000,4.5538127762136707E-4,1.742387543686582E-5,0.0,452564.2947437362,
45,806,1060007010,2.0498750289893473E-5,1.595655923080833E-5,2.797073928033329E-6,11223.233005700322,
46,7692,1060007060,2.11612678435942E-5,1.4089739040313146E-5,3.4424709986255424E-6,91501.4882605658,
47,9177,1060007070,2.0845863741709437E-5,1.2731253559759192E-5,0.0,98778.34842763054,
48,6769,1060007260,2.0844487861369195E-5,8.608870263760742E-6,1.8071042147777072E-6,49295.610030103606,
49,27,1060007270,2.040320342334395E-5,1.2124533237674347E-5,1.962721665893735E-6,277.2342801072034,
50,3218,1060007290,2.040320342334395E-5,9.803221772484604E-6,4.059220173533148E-6,26712.8775788277,
51,1169,1060007300,2.3105146788116215E-5,8.931253935506355E-6,0.0,8847.987260579039,
52,2951,1060007370,2.4409778864260836E-5,1.2405035995150712E-5,1.5011656303974018E-6,31018.446148740906,
53,37,1060007380,1.9688616482470577E-5,1.737200993140439E-5,1.5011656303974018E-6,545.2233372767306,
54,2413,1060007390,2.5343239352267252E-5,1.577768108727409E-5,3.2428696313154346E-6,32271.89273584422,
55,779,1060007400,2.502463029862689E-5,1.7560744938383868E-5,0.0,11607.262282445012,
56,5204,1060007450,2.5439795075200083E-5,1.3347557423810663E-5,3.930151984134726E-6,58890.89322525038,
57,20422,1060007460,0.021392535803751903,1.0250794988235174E-4,0.0,1788455.1759156578,
