system:index,count,hybas6ID,max,mean,min,sum,.geo
25,39164,1060003990,1.9235772433744022E-4,1.96122089567122E-6,0.0,64075.94995472831,
26,4819,1060005140,4.025259082738265E-5,7.624980145581565E-6,1.1282199039020207E-13,30891.36866011084,
27,7180,1060005150,1.310942160107188E-4,1.1724753966079416E-5,7.939160746378759E-17,70762.98630136704,
28,4624,1060005300,5.296826016048098E-5,7.477334255473887E-6,1.4992461998222962E-11,29109.552014010907,
29,1326,1060005310,1.3395503172305349E-5,7.266588498178154E-6,0.0,8105.523554938061,
30,4584,1060005340,1.3927040015457683E-4,1.2139303454949853E-5,4.743536604066309E-7,46879.04775369467,
31,2017,1060005350,1.3927040015457683E-4,1.867589882954082E-5,2.790431806187241E-6,31702.300235513794,
32,4443,1060005420,2.886935518432441E-5,1.1100805682518828E-5,4.845662525437691E-10,41559.56664194816,
33,6741,1060005430,2.886935518432441E-5,4.610732341156603E-6,0.0,26159.053765648812,
34,6306,1060005720,3.34280840089768E-5,6.795336064589537E-6,0.0,36066.6387136592,
35,3588,1060005730,1.8337136503131953E-4,2.669337924797162E-5,0.0,80506.96628950235,
36,5675,1060005860,3.6548727000845005E-5,1.3098572941803705E-5,0.0,62575.48062978693,
37,567,1060005870,1.5141638062314999E-5,2.5545847519224705E-6,0.0,1217.3454467844128,
38,4941,1060005880,3.507628413876853E-5,1.1134850565802898E-5,0.0,46290.929903765216,
39,17030,1060005890,5.126119376775961E-5,5.70468066667798E-6,0.0,81565.71436158013,
40,5677,1060006520,2.2008620295433035E-4,2.1298500213220097E-5,5.37064907356257E-7,101399.4290487447,
41,13172,1060006530,1.2499491084414158E-4,8.188799309002121E-6,0.0,90572.78139807555,
42,33905,1060006850,4.49175503049429E-5,7.2786684280832656E-6,0.0,207540.2736567628,
43,8315,1060006860,1.0417434251334806E-4,1.3160112568730087E-5,0.0,92211.85240521081,
44,30830,1060007000,4.170283708732819E-5,9.911662702235797E-6,0.0,257443.5668361282,
45,806,1060007010,4.908618377375008E-6,1.2108659412069345E-6,2.4014211407222882E-8,851.6767556374756,
46,7692,1060007060,2.0581619056660607E-5,8.585115140018445E-6,2.4014211407222882E-8,55753.396848047276,
47,9177,1060007070,2.7726765109235542E-5,8.588066527687567E-6,0.0,66632.48232467372,
48,6769,1060007260,4.8542799658512466E-5,1.0805109663761528E-5,3.534693130093817E-7,61871.587792357925,
49,27,1060007270,2.6025240115201727E-6,1.539691696895464E-6,3.534693130093817E-7,35.2059176884016,
50,3218,1060007290,1.4632590196994356E-5,1.0906239793424705E-5,8.741153829884267E-7,29718.500224570005,
51,1169,1060007300,3.472990873046687E-5,1.305631405289761E-5,0.0,12934.589167921542,
52,2951,1060007370,3.472990873046687E-5,1.1737335387726358E-5,0.0,29348.879422536313,
53,37,1060007380,1.2232793562518067E-5,1.1015129879603964E-5,0.0,345.71163021484597,
54,2413,1060007390,2.0770235129792856E-5,1.1139400114492793E-5,2.7476067064555912E-6,22784.687030245408,
55,779,1060007400,1.3620959014762568E-5,8.890048985935476E-6,0.0,5876.124882264474,
56,5204,1060007450,1.413391065112079E-5,1.0005066364671157E-5,2.7476067064555912E-6,44143.45458760179,
