system:index,PfafIDrunoff_annua,countrunoff_annua,meanrunoff_annua,.geo
135,114300,722,-0.20231012181475216,
136,114410,3376,0.0493919690309145,
137,114411,11647,0.02792488166823352,
138,114412,3525,0.06645456890910018,
139,114413,15127,0.012785664182342081,
140,114414,3267,0.01561013083548404,
141,114415,1,0.0056176865473389626,
142,114416,4264,0.016717160762927778,
143,114417,542,0.01606605139548061,
144,114418,12522,0.02717463237750725,
145,114419,3385,0.044571085766065915,
146,114420,17640,0.07502003813275923,
147,114430,12313,0.042242926701056185,
148,114441,1660,0.013361886756273478,
149,114442,3796,0.0026169253882829323,
150,114443,23070,0.07341252767000656,
151,114444,3586,0.16096666074350446,
152,114445,6066,0.12701098532453556,
153,114446,8489,0.09808071211178832,
154,114447,2883,0.21155914259099204,
155,114448,12265,0.1888336435416131,
156,114449,8665,0.35787319866070855,
157,114450,473,0.03701454953744928,
158,114460,29132,0.1657709355039548,
159,114470,26976,0.11805585718731937,
160,114480,17674,0.2804380193495286,
161,114490,22455,0.27313336859637194,
162,114500,27871,0.02065261577127757,
163,114601,5823,0.0246606866239222,
164,114602,10662,0.03645841627511229,
165,114603,506,0.03318635434441807,
166,114604,6933,0.006157705614822571,
167,114605,4090,0.00574536424641965,
168,114606,5583,0.014873364967332957,
169,114607,21267,0.024104941445852103,
170,114608,3869,0.026861506886961647,
171,114609,2978,0.024698160266983283,
172,114701,4745,-0.09790645712353775,
173,114702,5013,1.6506358737402275E-4,
174,114703,5019,-0.043616170645959754,
175,114704,8359,0.03210639909137939,
176,114705,9685,0.055976677125178245,
177,114706,1442,0.07650129522710661,
178,114707,446,0.07221809885029647,
179,114708,1479,0.08313519615608013,
180,114709,13,0.08552945920057695,
181,114801,5712,0.07531389369583548,
182,114802,3134,0.036934195315560844,
183,114803,856,0.09528740916334767,
184,114804,3306,0.0706471424511034,
185,114805,5341,0.060447102102033606,
186,114806,4465,0.02497862248335635,
187,114807,8853,0.05441918319967893,
188,114808,9325,0.03775332464779573,
189,114809,12520,0.05036839120829117,
190,114910,24602,0.07075389814226532,
191,114920,13186,0.05530337868037794,
192,114931,367,0.054943351580488006,
193,114932,6668,0.015133123675880725,
194,114933,3381,0.01843100726298946,
195,114934,4835,0.041932258848108,
196,114935,10129,0.10164905532605228,
197,114936,1413,0.31238299889904,
198,114937,2005,0.32549898138066685,
199,114938,7122,0.2744490421553028,
200,114939,3723,0.12116462723543818,
201,114940,17917,0.04566489373172093,
202,114950,8839,0.21265149290336854,
203,114960,17499,0.06261255056809323,
204,114970,3830,0.15782305583168563,
205,114980,12419,0.14092819979999074,
206,114990,32085,0.318185347208105,
207,115101,70982,0.1777822846048883,
208,115102,2813,0.17806772948777314,
209,115103,1057,0.17641429403105452,
210,115201,4944,0.23021213695791587,
211,115202,7332,0.2539950167326845,
212,115203,9279,0.2604563022220846,
213,115204,4711,0.14008572259224938,
214,115205,18925,0.18281613669826852,
215,115206,1020,0.3150062933562581,
216,115207,6669,0.27156264391154056,
217,115208,4606,0.13895953593060162,
218,115209,6567,0.16344826649795854,
219,115300,31550,0.28181189919074884,
220,115410,59,0.060022031752687804,
221,115421,2746,0.09196480364116866,
222,115422,5910,0.13350313328001495,
223,115423,190,0.0426378053834969,
224,115424,27002,0.2581033342143462,
225,115425,317,0.04483711068960689,
226,115426,4129,0.08790558603824017,
