PFAF_ID,SUB_NAME,MAJ_NAME
742989,"[Greybull, Dry, Big Horn Lake, Little Wind, Upper Wind, Badwater, Lower Wind, Muskrat, Popo Agie, Nowood, Upper Bighorn]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
742991,[Charlie / Little Muddy],[Mississippi - Missouri]
742992,[Big Muddy],[Mississippi - Missouri]
742993,"[Redwater, Prairie Elk / Wolf, Charlie / Little Muddy, Poplar, West Fork Poplar]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
742994,"[Lower Milk, Frenchman, Whitewater, Beaver, Rock, Porcupine, Middle Milk, Big Sandy, Battle, Lodge, Upper Milk, Sage, Wild Horse Lake, Cottonwood, Peoples]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
742995,"[Fort Peck Reservoir, Little Dry, Big Dry]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
742996,"[Lower Musselshell, Upper Musselshell, Flatwillow, Middle Musselshell, Box Elder]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
742997,"[Fort Peck Reservoir, Bullwacker / Dog, Arrow, Judith]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
742998,"[Teton, Willow, Two Medicine, Marias, Cut Bank]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
742999,"[Belt, Arrow, Upper Missouri, Upper Missouri / Dearborn, Sun, Smith, Gallatin, Madison, Boulder, Jefferson, Ruby, Big Hole, Beaverhead, Red Rock]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
743001,"[Lower Mississippi / Baton Rouge / Bayou Sara / Thompson, Eastern Central Louisiana Coastal, Western Louisiana Coastal]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
743002,[Western Louisiana Coastal],[Mississippi - Missouri]
743003,"[Atchafalaya, Western Louisiana Coastal]","[Mississippi - Missouri, Mississippi - Missouri]"
743004,"[Atchafalaya, Bayou Teche]","[Mississippi - Missouri, Mississippi - Missouri]"
743005,"[Atchafalaya, Vermillion, Western Louisiana Coastal, Mermentau]","[Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri, Mississippi - Missouri]"
