system:index,PfafIDDomWW_monthY2014M05,countDomWW_monthY2014M05,meanDomWW_monthY2014M05,.geo
259,115606,1710,3.568006034173947E-4,
260,115607,4877,1.749866926756539E-4,
261,115608,12255,1.2521081840308307E-4,
262,115711,18,0.0,
263,115712,7528,4.755865294893798E-6,
264,115713,7,0.0,
265,115714,25076,2.291458960217565E-5,
266,115715,13882,2.1977273280620603E-5,
267,115716,6926,4.976758998567682E-5,
268,115717,32235,4.8932682675144305E-5,
269,115718,4428,7.014031142579557E-5,
270,115719,27564,2.1261802513031184E-4,
271,115720,175,1.0414386754631519E-4,
272,115730,15209,2.641452693735888E-5,
273,115740,4470,4.090271777652472E-6,
274,115750,4443,2.2445242815812808E-6,
275,115801,15355,4.903179822416728E-5,
276,115802,8564,1.1594001948666624E-5,
277,115803,22718,1.85742897281462E-5,
278,115804,1554,9.031020179804219E-7,
279,115805,2794,4.083646220644074E-6,
280,115806,5497,1.6963018428775302E-6,
281,115807,2697,3.458301220632685E-7,
282,115808,8272,2.618418821946345E-6,
283,115809,7022,3.243962253743443E-6,
284,115900,20078,1.7077437159005304E-5,
285,116001,3505,6.438125297664649E-5,
286,116002,38883,3.267128200238954E-5,
287,116003,3319,1.2696316149263864E-5,
288,116004,21261,6.046313436416706E-5,
289,116005,3515,1.8857246859550436E-5,
290,116006,4365,3.559683894643553E-5,
291,116007,6990,6.17807945381428E-6,
292,116008,3767,9.139948878498527E-7,
293,116009,7974,8.342587414806037E-6,
294,117000,10611,1.8973531691192992E-4,
295,117100,200,5.518309860138832E-7,
296,117101,327,5.980206814409241E-5,
297,117102,12545,1.8756922859932308E-6,
298,117103,154,3.7110154833122465E-7,
299,117104,13065,6.414518676580298E-6,
300,117105,9005,5.164964511816345E-6,
301,117106,6687,1.3097502168827517E-5,
302,117107,528,5.589835126041841E-5,
303,117108,11426,1.6190143637936773E-5,
304,117109,3709,2.758988905352824E-5,
305,117201,2410,2.0429770812488277E-5,
306,117202,9093,1.7564647327362513E-5,
307,117203,5632,1.462661902041858E-5,
308,117204,15089,8.057412765514252E-5,
309,117205,7273,1.8133621206073663E-5,
310,117206,15598,4.871145631638952E-5,
311,117207,2233,2.8642738226532118E-5,
312,117208,6528,2.234610526252053E-5,
313,117209,47115,2.65786781084294E-4,
314,117300,3443,0.00290600157811269,
315,117310,1731,6.017544685732488E-5,
316,117320,9733,4.763606488651622E-5,
317,117321,35,7.698125607482719E-4,
318,117322,3445,6.177279847603058E-5,
319,117323,4536,4.29513752486247E-5,
320,117324,8445,9.824008266516816E-5,
321,117325,4901,9.349146613905169E-5,
322,117326,10718,1.1416243628046727E-4,
323,117327,860,1.2737577835014466E-4,
324,117328,3379,6.130848173969749E-4,
325,117329,8495,0.0013649881194089106,
326,117331,962,2.587039287334435E-4,
327,117332,8998,7.341661638551483E-5,
328,117333,1609,0.0010890551256418667,
329,117334,4584,7.73138115914788E-5,
330,117335,130,4.417613846905609E-4,
331,117336,5124,6.957679455770395E-5,
332,117337,3766,2.3240141389131358E-4,
333,117338,7822,3.1857376640064294E-5,
334,117339,4481,8.363704243114963E-6,
335,117340,3629,1.2374759046202513E-5,
336,117341,3562,5.484544848956933E-6,
337,117342,1453,9.032524261170193E-6,
338,117343,225,2.0266894168031395E-5,
339,117344,24075,9.010400965450385E-6,
340,117345,1996,5.868146428690369E-6,
341,117346,2560,4.819919851821913E-5,
342,117347,7977,4.120442782018096E-5,
343,117348,6817,2.534566069782048E-4,
344,117349,7746,1.6204687976329962E-4,
345,117350,9106,1.6602763139295112E-5,
346,117360,1417,6.8865442306303515E-6,
347,117361,8261,1.7835542535599658E-5,
348,117362,4616,5.930579200901432E-6,
349,117363,1954,4.213942956511915E-6,
350,117364,3249,1.0049317174550445E-5,
351,117365,5139,5.003930507332343E-6,
352,117366,3863,5.4935844863363365E-6,
353,117367,10234,5.003982686758233E-5,
354,117368,3636,1.1900766479918946E-4,
355,117369,8350,4.706821393930174E-5,
356,117370,289,5.617737752020678E-5,
357,117380,20668,2.840338751554522E-5,
358,117390,8986,4.1963344889513627E-4,
359,117400,31535,6.218388383208587E-5,
360,117410,6659,3.103756582464336E-5,
361,117420,9684,2.10042674732912E-5,
362,117430,6244,2.0903019526325953E-5,
363,117441,7455,1.0127530083276345E-5,
364,117442,30064,1.1896717202985399E-5,
365,117443,1483,1.427616946773137E-6,
366,117444,4685,1.0298126254713654E-6,
367,117445,6049,2.7499182536765796E-6,
368,117446,6873,5.315907930347533E-6,
369,117447,7098,9.847836070648177E-7,
370,117448,11424,3.071444504042353E-5,
371,117449,10133,2.8359223428751318E-5,
372,117450,23656,2.8838060524185575E-5,
373,117460,32576,1.785288788414212E-5,
374,117470,3648,3.543963284611077E-5,
375,117480,6353,8.759927806275636E-5,
376,117490,34383,2.7203686705851352E-5,
377,117501,4101,3.8380097133884197E-5,
378,117502,19773,2.0916561203072204E-5,
379,117503,131,4.5251659921608635E-5,
380,117504,4880,2.1259642211523372E-5,
381,117505,1891,2.178930848288713E-5,
382,117506,20274,2.270541744947009E-5,
383,117507,1796,4.621393745077119E-5,
384,117508,7144,7.031310673094724E-5,
385,117509,6695,6.842801832645735E-5,
386,117610,21194,3.466466857336782E-5,
387,117621,20963,1.3076530194931626E-6,
388,117622,7510,1.4570000048080519E-6,
389,117623,6148,5.341176426378094E-7,
390,117624,5529,6.646086483004194E-7,
391,117625,3107,9.704409845355517E-7,
392,117626,5092,1.0978199605626724E-6,
393,117627,2338,9.770510860320108E-7,
394,117628,4803,4.529597975234425E-6,
395,117629,17441,2.9801363027821262E-5,
396,117630,7944,1.8079602027526024E-5,
397,117640,12237,1.8303920021650075E-5,
398,117650,27139,8.261472889871558E-6,
399,117660,11080,4.215244232614569E-6,
400,117670,16159,1.154164104831389E-5,
401,117680,7373,5.0818205630253785E-5,
402,117690,8974,3.369618090243414E-6,
403,117701,4237,6.896833836791683E-6,
404,117702,3062,7.427828433216437E-6,
405,117703,3098,1.840773360959812E-5,
406,117704,29472,5.106817283226565E-6,
407,117705,3488,1.0427185739705976E-5,
408,117706,12305,8.779440221888114E-6,
409,117707,5022,2.491028301064103E-5,
410,117708,6600,1.1763405185687684E-5,
411,117709,6,2.327650154702123E-5,
412,117801,19386,1.5451920621854603E-5,
413,117802,8138,1.0417104211040829E-5,
414,117803,4481,4.736785674043534E-6,
415,117804,4823,1.4532015945801506E-6,
416,117805,9139,4.990207362345488E-6,
417,117806,4243,1.8808114887998177E-6,
418,117807,14182,1.0022684573372614E-5,
419,117808,4009,1.85194820749793E-5,
420,117809,5404,1.2299257290852867E-5,
421,117911,4254,2.2005914315888324E-5,
422,117912,11369,1.6297126819087844E-5,
423,117913,4828,4.50588928860365E-5,
424,117914,9748,2.8237507077002777E-5,
425,117915,2892,1.480571776140114E-5,
426,117916,4522,1.2483746756633256E-5,
427,117917,881,1.262803086349648E-5,
428,117918,3489,3.6342282730480106E-5,
429,117919,3366,3.846111578805759E-5,
430,117920,12385,2.7214309974925425E-5,
431,117930,3842,2.383424093645592E-5,
432,117940,17976,1.2220495637464933E-5,
433,117950,35035,1.2350096865148706E-5,
434,117960,27987,1.770792802668222E-5,
435,117970,4764,3.387635265577256E-5,
436,117980,23322,1.6158754681783917E-5,
437,117990,502,5.824447693344471E-5,
438,121000,5402,1.659959257132795E-5,
439,122100,13683,7.1475133860282314E-6,
440,122211,6406,2.6089729918268907E-5,
441,122212,1855,1.094809462214193E-5,
442,122213,3138,2.860675484090396E-5,
443,122214,5851,3.5279793221627105E-4,
444,122215,3894,1.9106799051745872E-4,
445,122216,2115,6.201537608606082E-5,
