system:index,PfafIDDomWN_monthY2014M01,countDomWN_monthY2014M01,meanDomWN_monthY2014M01,.geo
385,117509,6695,5.185041986274613E-5,
386,117610,21194,2.743172382671412E-5,
387,117621,20963,1.3655232974693081E-6,
388,117622,7510,1.076707663369563E-6,
389,117623,6148,5.581540361357333E-7,
390,117624,5529,6.952450339643861E-7,
391,117625,3107,1.0176144241511175E-6,
392,117626,5092,1.1492955420823501E-6,
393,117627,2338,1.0254349485341662E-6,
394,117628,4803,4.392853139920546E-6,
395,117629,17441,2.686111477170848E-5,
396,117630,7944,1.8906136474294253E-5,
397,117640,12237,1.7634273853423104E-5,
398,117650,27139,7.017782778229355E-6,
399,117660,11080,2.625269004489588E-6,
400,117670,16159,1.2081884396023939E-5,
401,117680,7373,3.365446641656624E-5,
402,117690,8974,3.348902937366412E-6,
403,117701,4237,6.443203178959902E-6,
404,117702,3062,7.673654410458573E-6,
405,117703,3098,1.4083706575776846E-5,
406,117704,29472,4.029289573577365E-6,
407,117705,3488,8.941855914347105E-6,
408,117706,12305,7.327920715162996E-6,
409,117707,5022,1.3861806407483514E-5,
410,117708,6600,9.83205099044148E-6,
411,117709,6,7.331402582465151E-6,
412,117801,19386,1.2021576193872372E-5,
413,117802,8138,9.709479715034651E-6,
414,117803,4481,4.963205990288386E-6,
415,117804,4823,1.522686397622823E-6,
416,117805,9139,4.650756405520428E-6,
417,117806,4243,1.9785295054007647E-6,
418,117807,14182,8.387339439562032E-6,
419,117808,4009,1.3026147432039843E-5,
420,117809,5404,8.873583136381648E-6,
421,117911,4254,2.136372660802722E-5,
422,117912,11369,1.3399029409446366E-5,
423,117913,4828,2.6943382070649068E-5,
424,117914,9748,1.8865909532738367E-5,
425,117915,2892,1.3862426043405154E-5,
426,117916,4522,1.2469633588440883E-5,
427,117917,881,1.2130661832780817E-5,
428,117918,3489,2.1881647891419618E-5,
429,117919,3366,1.9577601289920052E-5,
430,117920,12385,2.1141565495365134E-5,
431,117930,3842,2.1807902137998093E-5,
432,117940,17976,1.161353030160375E-5,
433,117950,35035,1.1169306588978129E-5,
434,117960,27987,1.3881931565316635E-5,
435,117970,4764,1.550971467824146E-5,
436,117980,23322,1.0913453595648962E-5,
437,117990,502,2.115780932375215E-5,
438,121000,5402,1.5154380796678912E-5,
439,122100,13683,7.347493171416063E-6,
440,122211,6406,2.3685196483846958E-5,
441,122212,1855,1.1670584322411014E-5,
442,122213,3138,2.8154644803457114E-5,
443,122214,5851,3.2134856693238954E-4,
444,122215,3894,1.7232574687108237E-4,
445,122216,2115,5.6864350708098355E-5,
446,122217,20739,1.7240439643616506E-4,
447,122218,7387,1.3113527626900788E-4,
448,122219,381,3.9157985452084E-5,
449,122220,10173,3.2584016504367587E-4,
450,122230,15251,5.212161203086626E-5,
451,122240,13981,2.1732219751030012E-4,
452,122250,4175,1.4651798677005222E-5,
453,122260,9898,7.884614931447036E-5,
454,122270,25323,1.9912183306159038E-5,
455,122281,58,0.0,
456,122282,18679,3.38523936423705E-5,
457,122283,8866,2.3877475070879044E-5,
458,122284,3054,3.3725412598697504E-5,
459,122285,1410,4.353340977882432E-5,
460,122286,2459,8.571458469333007E-5,
461,122287,2283,3.249943187719217E-5,
462,122288,5474,1.2347713152519572E-5,
463,122289,4972,4.2085831274821216E-5,
464,122290,14591,1.5621695322570303E-4,
465,122310,31891,6.615224647927486E-6,
466,122321,1222,8.08124237048466E-6,
467,122322,23462,6.718542814736296E-5,
468,122323,1012,8.239215412435658E-6,
469,122324,26869,1.2882052478878044E-4,
470,122325,566,6.858267280949605E-6,
471,122326,979,3.3457814269004053E-6,
472,122327,743,1.8447237165032975E-5,
473,122328,2014,3.2876555401509433E-6,
474,122329,9878,7.538975997853357E-5,
475,122330,1421,7.308824850168751E-6,
476,122340,19786,1.5322300350999815E-5,
477,122350,11368,7.808567495212229E-6,
478,122360,35190,3.4603637847971354E-5,
479,122371,6512,2.086857890102126E-6,
480,122372,2747,2.966804369044052E-6,
481,122373,5796,2.083981566772063E-6,
482,122374,6294,2.9716719777500766E-6,
483,122375,2608,1.0195882728287444E-6,
484,122376,11494,5.702474101923879E-5,
485,122377,3260,1.2395765781706305E-6,
486,122378,2622,2.3435199616650983E-6,
487,122379,170,6.938454558834206E-7,
488,122380,30585,2.1905477311600518E-4,
489,122390,928,6.461728838426021E-6,
490,122410,9362,5.216957094204354E-5,
491,122421,1196,5.280085371065622E-5,
492,122422,18009,1.6652783723632818E-5,
493,122423,7491,4.889205668775406E-5,
494,122424,10799,9.261434200182511E-5,
495,122425,914,2.350799975633757E-5,
496,122426,4254,2.063227783807022E-5,
497,122427,5533,4.434554684993341E-5,
498,122428,2222,5.270578900231559E-5,
499,122429,3051,1.8121917124296423E-5,
500,122430,27772,5.1276641593418965E-5,
501,122440,12555,1.1424687648288803E-4,
502,122450,18864,5.615038280877255E-5,
503,122460,7469,1.4070793575097389E-5,
504,122470,3244,4.367751394462006E-5,
505,122480,5516,9.98673901240576E-5,
506,122491,6706,2.417854791682786E-5,
507,122492,3053,2.6179044235729837E-5,
508,122493,1532,1.5539015969598787E-5,
509,122494,2788,7.513823033564612E-5,
