system:index,PfafIDDomWW_yearY2014M12,countDomWW_yearY2014M12,meanDomWW_yearY2014M12,.geo
173,114702,5013,6.679495026091401E-5,
174,114703,5019,1.410845473474035E-4,
175,114704,8359,1.7968393014291736E-5,
176,114705,9685,4.455988723605406E-5,
177,114706,1442,2.232712076766934E-5,
178,114707,446,1.9850121788630367E-5,
179,114708,1479,2.2037857471317403E-5,
180,114709,13,4.7873942699847404E-5,
181,114801,5712,7.07754323340362E-5,
182,114802,3134,8.281792054764002E-5,
183,114803,856,4.762577080485751E-5,
184,114804,3306,6.323858777133218E-5,
185,114805,5341,7.838234958313822E-5,
186,114806,4465,9.022839848093517E-5,
187,114807,8853,8.425782495842483E-5,
188,114808,9325,2.4658018743879554E-4,
189,114809,12520,3.1598034114136136E-4,
190,114910,24602,4.2998711625054576E-5,
191,114920,13186,9.186256069876775E-5,
192,114931,367,6.893650485692453E-5,
193,114932,6668,4.8289645580793296E-5,
194,114933,3381,8.146488117178356E-5,
195,114934,4835,1.0237006175834984E-4,
196,114935,10129,8.385673137809684E-5,
197,114936,1413,3.777843782098425E-5,
198,114937,2005,4.413356735209324E-5,
199,114938,7122,9.738265460682676E-5,
200,114939,3723,9.193330529227147E-5,
201,114940,17917,2.2829314877278485E-4,
202,114950,8839,1.6141029013986698E-4,
203,114960,17499,8.17772546866977E-4,
204,114970,3830,2.735643369640428E-4,
205,114980,12419,7.717003158252124E-4,
206,114990,32085,6.052860338140992E-4,
207,115101,71040,5.180655220944107E-4,
208,115102,2813,8.613364658894971E-4,
209,115103,1057,0.0011300083216554124,
210,115201,4944,2.3471494844559527E-4,
211,115202,7332,5.469859839590511E-4,
212,115203,9279,6.212339165892753E-4,
213,115204,4711,2.3038093220356746E-4,
214,115205,18925,5.328975994616088E-4,
215,115206,1020,1.1482577082517859E-4,
216,115207,6669,1.7776943014408223E-4,
217,115208,4606,3.7386454419228337E-4,
218,115209,6567,0.0012901424530421207,
219,115300,31550,0.002107274150741944,
220,115410,59,2.4499106089149307E-6,
221,115421,2746,7.726240366115835E-5,
222,115422,5910,4.5339353204959076E-5,
223,115423,190,2.3329854701831696E-4,
224,115424,27002,6.172496901952843E-4,
225,115425,317,4.120304859119752E-4,
226,115426,4129,2.68731243573257E-4,
227,115427,2339,4.0801673524660387E-4,
228,115428,1980,1.9818458743310434E-4,
229,115429,11579,0.0012338245433648992,
230,115430,18309,1.389036182309747E-4,
231,115440,14238,4.518160758285375E-4,
232,115451,34,0.0,
233,115452,3041,1.5143471990243287E-4,
234,115453,6141,2.283668175853962E-4,
235,115454,5229,2.4443298147110805E-4,
236,115455,8528,1.9602001822818227E-4,
237,115456,4944,4.893591514101096E-4,
238,115457,740,4.043931016407321E-4,
239,115458,4129,6.119370808100114E-4,
240,115459,17083,0.001205748048489421,
241,115460,8270,8.826052077955543E-4,
242,115470,9268,0.001837532589300025,
243,115480,12405,0.0013376564317792352,
244,115490,6089,0.002103147223753482,
245,115501,6,3.051193714495238E-4,
246,115502,8893,4.657509620283871E-4,
247,115503,750,5.163355849380718E-4,
248,115504,2436,4.890332426622222E-4,
249,115505,2096,4.49001250629524E-4,
250,115506,7486,1.7627219121318019E-4,
251,115507,574,3.4407915869246673E-4,
252,115508,7481,2.9806721357846265E-4,
253,115509,7552,1.3768474888603752E-4,
254,115601,269,1.1858255630636861E-5,
255,115602,21806,3.9507163178745827E-4,
256,115603,1991,2.741792677451105E-4,
257,115604,2276,0.0015660448459172396,
258,115605,19149,0.0023584536970830774,
259,115606,1710,0.004179380326380285,
260,115607,4877,0.002026852221268965,
261,115608,12255,0.0014375457456501015,
262,115711,18,0.0,
263,115712,7528,5.586375721092832E-5,
264,115713,7,0.0,
265,115714,25076,2.6624360535410825E-4,
266,115715,13882,2.570899100546183E-4,
267,115716,6926,5.77640305823407E-4,
268,115717,32235,5.662137904438839E-4,
269,115718,4428,8.057510518783813E-4,
