system:index,PfafIDDomWN_monthY2014M06,countDomWN_monthY2014M06,meanDomWN_monthY2014M06,.geo
253,115509,7552,1.1176746373458737E-5,
254,115601,269,9.639637965600628E-7,
255,115602,21806,3.1631763237684455E-5,
256,115603,1991,2.2335607973716502E-5,
257,115604,2276,9.910989526851065E-5,
258,115605,19149,1.7235835528988622E-4,
259,115606,1710,2.589954627148665E-4,
260,115607,4877,1.6910359721050244E-4,
261,115608,12255,1.0902639617351336E-4,
262,115711,18,0.0,
263,115712,7528,3.5014307205942683E-6,
264,115713,7,0.0,
265,115714,25076,1.7869892928462207E-5,
266,115715,13882,2.2159531696374377E-5,
267,115716,6926,5.0691882423832775E-5,
268,115717,32235,4.4886297717272497E-5,
269,115718,4428,6.943869453936468E-5,
270,115719,27564,1.5226522556118806E-4,
271,115720,175,1.0280230868702135E-4,
272,115730,15209,2.4434802690873764E-5,
273,115740,4470,4.181679277557154E-6,
274,115750,4443,2.294899652414203E-6,
275,115801,15355,4.408254031522397E-5,
276,115802,8564,1.1758471058246361E-5,
277,115803,22718,1.5099414122223828E-5,
278,115804,1554,9.17834077084788E-7,
279,115805,2794,4.171867586051705E-6,
280,115806,5497,1.7329374833613505E-6,
281,115807,2697,3.532233962099356E-7,
282,115808,8272,2.669589823403788E-6,
283,115809,7022,3.3091820990098404E-6,
284,115900,20078,8.691495224765823E-6,
285,116001,3505,5.977146333152769E-5,
286,116002,38883,2.0328041174176677E-5,
287,116003,3319,8.386765810995051E-6,
288,116004,21261,4.720966121664829E-5,
289,116005,3515,1.822845352486122E-5,
290,116006,4365,3.1113040292777393E-5,
291,116007,6990,5.9771216033652775E-6,
292,116008,3767,8.846338564684759E-7,
293,116009,7974,6.073999492885948E-6,
294,117000,10611,1.599983262141442E-4,
295,117100,200,5.294473013773675E-7,
296,117101,327,2.7895063322567448E-5,
297,117102,12545,1.8026778722080937E-6,
298,117103,154,3.567449951373028E-7,
299,117104,13065,6.165108071715449E-6,
300,117105,9005,4.975885425475388E-6,
