system:index,PfafIDIrrWN_monthY2014M04,countIrrWN_monthY2014M04,meanIrrWN_monthY2014M04,.geo
242,115470,9268,4.08543299721564E-5,
243,115480,12405,0.0,
244,115490,6089,0.0,
245,115501,6,0.0,
246,115502,8893,0.0,
247,115503,750,0.0,
248,115504,2436,0.0,
249,115505,2096,0.0,
250,115506,7486,0.0,
251,115507,574,0.0,
252,115508,7481,0.0,
253,115509,7552,0.0,
254,115601,269,0.0,
255,115602,21806,3.844107898959398E-5,
256,115603,1991,9.660774609552394E-7,
257,115604,2276,1.5070544839801238E-4,
258,115605,19149,1.300299274264366E-4,
259,115606,1710,9.972973625079268E-5,
260,115607,4877,2.2009948870731407E-5,
261,115608,12255,6.170178664519466E-5,
262,115711,18,0.0,
263,115712,7528,3.6718940649080055E-7,
264,115713,7,0.0,
265,115714,25076,2.0558854896813563E-5,
266,115715,13882,6.665935180305499E-5,
267,115716,6926,3.5964378151533475E-4,
268,115717,32235,1.4689849235550642E-4,
269,115718,4428,9.308922788245987E-5,
270,115719,27564,2.1449475555575104E-4,
271,115720,175,0.0,
272,115730,15209,1.2514206855152623E-5,
273,115740,4470,0.0,
274,115750,4443,0.0,
275,115801,15355,1.3967491842108387E-4,
276,115802,8564,2.3429336886022932E-5,
277,115803,22718,1.4572464905390996E-5,
278,115804,1554,0.0,
279,115805,2794,0.0,
280,115806,5497,0.0,
281,115807,2697,0.0,
282,115808,8272,0.0,
283,115809,7022,0.0,
284,115900,20078,7.075985100403512E-7,
285,116001,3505,5.966958190988559E-6,
286,116002,38883,5.148920853662871E-6,
287,116003,3319,6.554947819602927E-6,
288,116004,21261,1.791650451977896E-5,
289,116005,3515,0.0,
290,116006,4365,0.0,
291,116007,6990,0.0,
292,116008,3767,0.0,
293,116009,7974,9.982427274271989E-7,
294,117000,10611,3.853110986732614E-5,
295,117100,200,0.0,
296,117101,327,0.0,
297,117102,12545,4.931978614555392E-6,
298,117103,154,0.0,
299,117104,13065,0.0,
300,117105,9005,0.0,
301,117106,6687,2.9652019916628917E-5,
302,117107,528,0.0,
303,117108,11426,8.773022721904206E-6,
304,117109,3709,0.0,
305,117201,2410,9.043421294029388E-6,
306,117202,9093,0.0,
307,117203,5632,5.273777830327219E-6,
308,117204,15089,6.202044031260996E-6,
309,117205,7273,4.133513769862853E-5,
310,117206,15598,9.03800417558045E-6,
311,117207,2233,0.0013461106734907143,
312,117208,6528,2.717407661886717E-4,
313,117209,47115,5.107283567430882E-4,
314,117300,3443,8.325622658532421E-6,
315,117310,1731,0.0,
316,117320,9733,2.8313001156637762E-5,
317,117321,35,0.0,
318,117322,3445,5.662025288542927E-6,
319,117323,4536,1.8789375054301502E-5,
320,117324,8445,1.2820154923414826E-5,
