system:index,PfafIDarea30sm2,countarea30sm2,meanarea30sm2,.geo
113,114223,174,854725.3063936782,
114,114224,77580,854111.4422918278,
115,114225,2250,854546.8211666667,
116,114226,17050,853784.0553079179,
117,114227,24212,853611.2730541674,
118,114228,5771,852478.8653504592,
119,114229,9213,852862.49886709,
120,114230,2510,854756.6327191235,
121,114240,9987,854718.2703577151,
122,114250,4469,854790.7679150817,
123,114260,6798,854787.1809171815,
124,114270,14977,854703.0233274354,
125,114281,1050,854580.1529166667,
126,114282,6319,854595.3732295458,
127,114283,60,854563.8270833333,
128,114284,14492,854193.9488640284,
129,114285,1297,854452.913116808,
130,114286,6726,854572.3692945287,
131,114287,4228,854443.141541509,
132,114288,2619,854538.2991122566,
133,114289,5390,854663.3504174397,
134,114290,26586,854749.5745528662,
135,114300,722,854794.8934383657,
136,114410,3376,853108.8394549763,
137,114411,11647,854468.5458594487,
138,114412,3525,853989.7332624113,
139,114413,15127,853844.8090087262,
140,114414,3267,853470.1864860728,
141,114415,1,853364.375,
142,114416,4264,853520.950457317,
143,114417,542,853284.0653828413,
144,114418,12522,853023.8432458872,
145,114419,3385,852932.8104135894,
146,114420,17640,852063.7272356859,
147,114430,12313,851985.8148197028,
148,114441,1660,853023.3297439759,
149,114442,3796,853171.7580512381,
150,114443,23070,852542.4486156263,
151,114444,3586,851577.6653130229,
152,114445,6066,851878.5236255358,
153,114446,8489,852206.1157306514,
154,114447,2883,851493.8503078391,
155,114448,12265,851240.9329647371,
156,114449,8665,850596.7642527409,
157,114450,473,852561.9334038055,
158,114460,29132,850151.0481987161,
159,114470,26976,850930.5731112841,
160,114480,17674,849768.596494144,
161,114490,22455,850307.3478957916,
162,114500,27914,854510.8707816866,
163,114601,5823,854282.2367014425,
164,114602,10662,853801.5893359595,
165,114603,506,854404.6731719368,
166,114604,6933,854078.8929485793,
167,114605,4090,854018.5825336186,
168,114606,5583,853642.441138277,
169,114607,21267,853493.0832304745,
170,114608,3869,852557.7728256655,
171,114609,2978,852853.9005834452,
172,114701,4745,854306.1249341412,
173,114702,5013,853645.9015060841,
174,114703,5019,853287.6349745966,
175,114704,8359,852364.967594808,
176,114705,9685,852247.3862416107,
177,114706,1442,851456.8984483356,
178,114707,446,851757.9344170403,
179,114708,1479,851837.5966869507,
180,114709,13,851586.9567307692,
181,114801,5712,850917.208541229,
182,114802,3134,850033.8935067008,
183,114803,856,850621.6745765187,
184,114804,3306,850108.6477994556,
185,114805,5341,849670.5311973413,
186,114806,4465,848838.7743281075,
187,114807,8853,848054.1111699424,
