system:index,PfafIDDomWW_monthY2014M08,countDomWW_monthY2014M08,meanDomWW_monthY2014M08,.geo
67,112113,7180,1.9881562900779354E-6,
68,112114,4624,4.692993405570723E-6,
69,112115,1326,2.7580788829431705E-6,
70,112116,4584,4.626861951975684E-6,
71,112117,2017,1.6694593764020136E-6,
72,112118,4443,2.3468598019418822E-5,
73,112119,6741,6.412941904363212E-6,
74,112120,6306,4.727893838407313E-7,
75,112130,3588,3.794888535634247E-7,
76,112140,5675,8.703280168698194E-7,
77,112150,567,3.0450057856810567E-7,
78,112160,4941,7.946946846204191E-7,
79,112170,17030,8.519443924031836E-7,
80,112180,5677,9.227690430838555E-7,
81,112190,13172,8.696530756970761E-7,
82,112200,33905,1.122503282433141E-6,
83,112300,8315,1.4777428310451182E-6,
84,112400,30830,2.016251128678153E-6,
85,112500,806,1.3628415618109146E-6,
86,112600,7692,1.4769379150312932E-6,
87,112700,9177,1.3658475858547478E-6,
88,112801,6769,9.082078998810388E-7,
89,112802,7135,4.88268805070566E-7,
90,112803,17267,3.5179563369841287E-7,
91,112804,9185,2.27461071935424E-6,
92,112805,5556,7.76225059717857E-7,
93,112806,6540,1.7334906238251168E-6,
94,112807,9643,8.726978794384656E-7,
95,112808,3496,1.5339385552399418E-6,
96,112809,10746,6.117493325692145E-6,
97,112901,27,2.0705139257826507E-6,
98,112902,3218,1.016068016129771E-6,
99,112903,1169,9.172739268842382E-7,
100,112904,2951,1.4176879694273602E-6,
101,112905,37,1.453501519675813E-6,
102,112906,2413,1.7288622079472362E-6,
103,112907,779,1.859413520870726E-6,
104,112908,5204,1.6595048326412752E-6,
105,112909,20422,1.1607620026523876E-5,
106,113000,4675,0.0,
107,114001,54761,5.633427534329091E-6,
108,114002,2390,1.291873434209324E-6,
109,114100,1656,6.861505493225021E-6,
110,114210,16802,9.185843491684218E-7,
111,114221,2409,6.871280022696405E-7,
112,114222,5839,7.920654839376704E-7,
113,114223,174,8.652774331030521E-7,
114,114224,77580,1.0327237054900923E-5,
115,114225,2250,6.950145931345384E-7,
116,114226,17050,8.058830254471246E-6,
117,114227,24212,1.019397437488343E-5,
118,114228,5771,8.586762076978349E-6,
119,114229,9213,8.52539189817289E-6,
120,114230,2510,4.873010303878191E-7,
121,114240,9987,7.0417058081326375E-6,
122,114250,4469,1.9244194306542408E-5,
123,114260,6798,1.3527197891540016E-5,
124,114270,14977,1.3433089776374436E-5,
125,114281,1050,3.7541176429834E-6,
126,114282,6319,3.316029050649767E-6,
127,114283,60,4.544310627354913E-6,
128,114284,14492,9.33961673635813E-6,
129,114285,1297,3.2694701718149673E-6,
130,114286,6726,8.661385057299875E-6,
131,114287,4228,1.3491926957395363E-5,
132,114288,2619,2.273744497368585E-5,
133,114289,5390,4.3422023219361165E-5,
134,114290,26586,1.0414915860467381E-4,
135,114300,722,3.70269952998656E-5,
136,114410,3376,1.6500166167243002E-6,
137,114411,11647,2.249838144662555E-6,
138,114412,3525,3.607786200249554E-6,
139,114413,15127,3.1845101234513586E-6,
140,114414,3267,2.4368819115794324E-6,
141,114415,1,1.7558496943206833E-6,
142,114416,4264,2.8050751922964732E-6,
143,114417,542,1.6866225166384183E-6,
144,114418,12522,1.9122828775578647E-6,
145,114419,3385,1.6671676086766202E-6,
146,114420,17640,2.0358617020954916E-6,
147,114430,12313,3.626383746638713E-6,
148,114441,1660,1.4535595345831733E-5,
149,114442,3796,1.1590669034094629E-5,
150,114443,23070,1.6886198840744594E-5,
151,114444,3586,8.138684024001946E-6,
152,114445,6066,9.031611286830227E-6,
153,114446,8489,1.0335195516284356E-5,
154,114447,2883,1.9585528805564543E-5,
155,114448,12265,2.6241507243956272E-5,
156,114449,8665,4.2530759851090524E-5,
157,114450,473,7.589673756212808E-5,
158,114460,29132,1.6273476480741047E-5,
159,114470,26976,1.3924190897367166E-5,
160,114480,17674,1.2070311250387302E-5,
161,114490,22455,2.35996545382776E-5,
162,114500,27914,2.20601746045747E-6,
163,114601,5823,2.1976534713662304E-6,
164,114602,10662,4.819169310437182E-6,
165,114603,506,1.4544002770453324E-6,
166,114604,6933,2.9678304467911096E-6,
167,114605,4090,4.129864198566769E-6,
168,114606,5583,1.0455389282663302E-5,
169,114607,21267,2.48619404077143E-6,
170,114608,3869,1.5864504121748156E-6,
171,114609,2978,1.3550175493516434E-6,
172,114701,4745,1.2877103278756792E-5,
173,114702,5013,5.346161073147491E-6,
174,114703,5019,1.1294816682736661E-5,
175,114704,8359,1.448183905769903E-6,
176,114705,9685,3.5728215604983685E-6,
177,114706,1442,1.796923626073E-6,
178,114707,446,1.5943055617960861E-6,
179,114708,1479,1.7756479760660755E-6,
180,114709,13,3.850563394007507E-6,
181,114801,5712,5.734053448730393E-6,
182,114802,3134,6.790540533004621E-6,
183,114803,856,3.855177806367043E-6,
184,114804,3306,5.14469692224445E-6,
185,114805,5341,6.460812664426024E-6,
186,114806,4465,7.561722116381584E-6,
187,114807,8853,7.089177878465674E-6,
188,114808,9325,2.1015153266651928E-5,
189,114809,12520,2.6957423721622408E-5,
190,114910,24602,3.4923378874182864E-6,
191,114920,13186,7.645074467755474E-6,
192,114931,367,5.592810072918879E-6,
193,114932,6668,3.92961064117465E-6,
194,114933,3381,6.686355479083935E-6,
195,114934,4835,8.531829972531032E-6,
196,114935,10129,6.920766740435475E-6,
197,114936,1413,3.1324995931374715E-6,
198,114937,2005,3.6669768555630785E-6,
199,114938,7122,8.128251111518976E-6,
200,114939,3723,7.68662101459889E-6,
201,114940,17917,1.934241017045387E-5,
202,114950,8839,1.3521018271889254E-5,
203,114960,17499,6.915496585213549E-5,
204,114970,3830,2.2981387910795623E-5,
205,114980,12419,6.487458885990949E-5,
206,114990,32085,5.035879100692261E-5,
207,115101,71040,4.189389067130124E-5,
208,115102,2813,6.896217105900577E-5,
209,115103,1057,9.08127945916608E-5,
210,115201,4944,1.8583387330478005E-5,
211,115202,7332,4.345285016451603E-5,
212,115203,9279,4.950414155167706E-5,
213,115204,4711,1.8466784438456133E-5,
214,115205,18925,4.2472270556272437E-5,
215,115206,1020,9.189291720293034E-6,
216,115207,6669,1.4143289809822331E-5,
217,115208,4606,2.9686229398609117E-5,
218,115209,6567,1.0225795248091981E-4,
219,115300,31550,1.6891766243463775E-4,
220,115410,59,1.96066415174945E-7,
221,115421,2746,6.173742103427503E-6,
222,115422,5910,3.6367254518034115E-6,
223,115423,190,1.8662584786929274E-5,
224,115424,27002,4.934188394315463E-5,
225,115425,317,3.301512219539504E-5,
226,115426,4129,2.156030475771499E-5,
227,115427,2339,3.28107360904093E-5,
228,115428,1980,1.593756284267695E-5,
229,115429,11579,9.927645859968177E-5,
230,115430,18309,1.1064765403650519E-5,
231,115440,14238,3.611148948894955E-5,
232,115451,34,0.0,
233,115452,3041,1.2026423677934985E-5,
234,115453,6141,1.8224265667755292E-5,
235,115454,5229,1.9553360664490973E-5,
236,115455,8528,1.5705302919682454E-5,
237,115456,4944,3.9432228710000474E-5,
238,115457,740,3.2347866336102534E-5,
239,115458,4129,4.9573613958119575E-5,
240,115459,17083,9.822057936657833E-5,
241,115460,8270,7.13624525098564E-5,
242,115470,9268,1.5067282158873376E-4,
243,115480,12405,1.0875587932728732E-4,
244,115490,6089,1.7149809414836444E-4,
245,115501,6,2.4349214469425313E-5,
246,115502,8893,3.7130143001113824E-5,
247,115503,750,4.1277636690378166E-5,
248,115504,2436,3.9129960079007923E-5,
249,115505,2096,3.5855122032641684E-5,
250,115506,7486,1.4032537786997576E-5,
251,115507,574,2.7418121775780006E-5,
252,115508,7481,2.376213992169162E-5,
253,115509,7552,1.0952485212080309E-5,
254,115601,269,9.431107781722838E-7,
255,115602,21806,3.126081942815565E-5,
256,115603,1991,2.179076560227181E-5,
257,115604,2276,1.2371939328954904E-4,
258,115605,19149,1.9294882215251986E-4,
259,115606,1710,3.423256893805291E-4,
260,115607,4877,1.6592083495799682E-4,
261,115608,12255,1.1811336157422324E-4,
262,115711,18,0.0,
263,115712,7528,4.836904643973634E-6,
264,115713,7,0.0,
265,115714,25076,2.2682137516039226E-5,
266,115715,13882,2.208443875942502E-5,
267,115716,6926,4.887317074421852E-5,
268,115717,32235,4.767334524614324E-5,
269,115718,4428,6.706015236558715E-5,
270,115719,27564,2.0228655172701453E-4,
271,115720,175,9.88947774782307E-5,
272,115730,15209,2.5801811213940767E-5,
273,115740,4470,4.0823605805378335E-6,
274,115750,4443,2.252061734311953E-6,
275,115801,15355,4.79142954516838E-5,
276,115802,8564,1.138983027514691E-5,
277,115803,22718,1.7992845149126142E-5,
278,115804,1554,9.035996676116272E-7,
279,115805,2794,4.0860655046215155E-6,
280,115806,5497,1.7133907363387063E-6,
281,115807,2697,3.535674598882554E-7,
282,115808,8272,2.6727414642896877E-6,
283,115809,7022,3.3120454366283666E-6,
284,115900,20078,1.7502881330575173E-5,
285,116001,3505,6.403828257782187E-5,
286,116002,38883,3.253764325131422E-5,
287,116003,3319,1.266556457744228E-5,
288,116004,21261,6.050582226300079E-5,
289,116005,3515,1.8840324095086735E-5,
290,116006,4365,3.5592932573725465E-5,
